H_upper,B_upper,H_lower,B_lower,H_init,B_init
-192,-1.02881270289,-192,-1.4184230925,-192,-1.22361789769
-190.8,-1.02262243783,-190.8,-1.41779962952,-190.8,-1.22021103368
-189.6,-1.01629665255,-189.6,-1.41717189683,-189.6,-1.21673427469
-188.4,-1.00983084636,-188.4,-1.41653985031,-188.4,-1.21318534834
-187.2,-1.00322031708,-187.2,-1.41590344522,-187.2,-1.20956188115
-186,-0.996460149588,-186,-1.41526263623,-186,-1.20586139291
-184.8,-0.989545203628,-184.8,-1.41461737734,-184.8,-1.20208129048
-183.6,-0.982470100804,-183.6,-1.41396762194,-183.6,-1.19821886137
-182.4,-0.9752292106,-182.4,-1.41331332275,-182.4,-1.19427126667
-181.2,-0.967816635442,-181.2,-1.41265443183,-181.2,-1.19023553363
-180,-0.960226194671,-180,-1.41199090055,-180,-1.18610854761
-178.8,-0.952451407354,-178.8,-1.41132267962,-178.8,-1.18188704349
-177.6,-0.944485473824,-177.6,-1.41064971903,-177.6,-1.17756759643
-176.4,-0.93632125584,-176.4,-1.40997196804,-176.4,-1.17314661194
-175.2,-0.92795125525,-175.2,-1.40928937522,-175.2,-1.16862031524
-174,-0.919367591019,-174,-1.40860188838,-174,-1.1639847397
-172.8,-0.91056197447,-172.8,-1.40790945458,-172.8,-1.15923571452
-171.6,-0.901525682588,-171.6,-1.4072120201,-171.6,-1.15436885134
-170.4,-0.892249529185,-170.4,-1.40650953047,-170.4,-1.14937952983
-169.2,-0.882723833753,-169.2,-1.4058019304,-169.2,-1.14426288208
-168,-0.872938387754,-168,-1.40508916381,-168,-1.13901377578
-166.8,-0.862882418122,-166.8,-1.40437117377,-166.8,-1.13362679595
-165.6,-0.852544547696,-165.6,-1.40364790254,-165.6,-1.12809622512
-164.4,-0.84191275227,-164.4,-1.4029192915,-164.4,-1.12241602189
-163.2,-0.830974313938,-163.2,-1.40218528119,-163.2,-1.11657979756
-162,-0.819715770326,-162,-1.40144581123,-162,-1.11058079078
